,rc_num,rc_name,rc_view,rc_rec,rc_scrap,rc_type,rc_sit,rc_sort,rc_nick,rc_info,rc_ing,rc_diff,rc_time
14,554907,쌈밥,28593,34,104,기타,도시락,채소류,밥/죽/떡,입맛은 없고 간단하게 먹고 싶을때 나들이용 도시락으로도 안성맞춤인 햄을 넣은 쌈밥을 간단하게 만들어 봤어요.,[재료] 흰쌀밥 1공기| 통조림햄 작은것 1개| 꽃상추(또는 청상추) 10장 [양념] 쌈장 1큰술| 마요네즈 1큰술 [밥양념] 소금 1작은술| 참기름 2작은술| 통깨 약간,아무나,10분이내
15,617967,칠리참치롤,7587,3,63,비빔,초스피드,가공식품류,밥/죽/떡,생각보다 맛도 참 괜찮구요. 만들기 간단해서 너무 좋습니다. 초간단 칠리 참치롤입니다.,[재료] 칠리참치통조림| 밥| 오이| 날치알| 무순| 오렌지쥬스 [초밥초] 식초 1T| 설탕 1/2T| 소금 1/2t| 마요네즈 약간,아무나,10분이내
16,618675,귤쥬스,28971,7,129,기타,간식,과일류,차/음료/술,진짜 귤로 만드는 귤 쥬스만들기 ,[재료] 껍질을 깐 귤 720g| 생강 12g [양념] 생수 200ml| 꿀 3TS,아무나,30분이내
17,629687,양상추샌드위치,12733,6,64,기타,간식,밀가루,빵,케찹 듬뿍 양상추 샌드위치,[재료] 롤빵 3개(140g)| 베이컨 9장(180g)| 양상추 1컵(60g)| 방울토마토 5개(90g) [양념] 마요네즈 2큰술(20g)| 머스터드 2큰술(20g)| 피클 1/2개(20g)| 씨겨자(홀그레인 머스터드) 1큰술(10g),초급,30분이내
18,637848,노오븐마늘빵,15780,15,68,굽기,간식,밀가루,빵,토스터기로 마늘빵 만드는법을 소개할건데요. 오븐이 없는 분들을 위한 레시피랍니다. 그야말로 초간단한 레시피에용. 집에 토스터기 있으신 분들 꼭 만들어보세요.,[재료] 식빵 2쪽 [양념] 버터 2큰술| 다진 마늘 0.5큰술| 파슬리가루 0.3큰술,아무나,10분이내
19,668311,오징어토마토덮밥,5754,2,9,볶음,일상,해물류,밥/죽/떡,오징어와 야채 그리고 토마토를 넣어 함께 볶아 이색적인 덮밥을 만들어 먹었어요.,[재료] 양파 1개| 애호박 1/2개| 방울토마토| 오징어몸통 1개| 풋고추 1개| 대파 1/2대| 밥 1/2공기 [양념] 식용유 적당량 | 고추장 2큰술| 고춧가루 1큰술| 설탕 1큰술| 맛술 1큰술| 다진마늘 1큰술| 참기름 약간 | 깨소금 약간 | 녹말물 약간 ,초급,30분이내
20,675474,치킨카레우동,7430,6,129,끓이기,일상,닭고기,면/만두,우동사리 사다 놓은게 있길래 닭가슴살을 넣고 치킨 카레우동을 해먹었어요. 시간도 오래 걸리지 않고 너무 맛있는 치킨 카레우동이랍니다.,[재료] 우동면사리 1개| 하림 슬림 닭가슴살 1캔(삶은 닭가슴살 1쪽)| 양파 작은것 1/2개| 물 1/2컵| 3색 파프리카 1/3개씩| 데친 브로콜리 1줌| 포토씨유 1큰술| 카레가루 2큰술,초급,15분이내
21,685904,오므라이스,10563,5,24,볶음,일상,쌀,밥/죽/떡,오늘은 주말이고.. 간단하게.. 청정원 열린요리교실에서 보내주신.. 맛있는밥&엔을 이용하여 오므라이스를 만들어 먹었어요.^0^ 따로 채소를 썰지 않아도... 밥&엔만 있으면 간단! 볶음밥이 되니.. 주말엔 더없이 좋더라구요~^0^,[재료] 뜨거운 밥 1공기| 맛있는밥&엔 1개| 달걀 1개 [양념] 우유 1큰술,초급,30분이내
22,686300,사시미곤약쫄면,5591,4,24,비빔,다이어트,가공식품류,면/만두,사시미곤약으로 쫄면처럼 비벼먹어봤어요. 사실 쫄면맛은 초장과 야채 그리고 쫄깃거리는 질감이잖아요. 사시미곤약도 똑같이 쫄깃거리면서 초장맛과 잘 어울리고요. 곤약이 섬유질덩어리이고 칼로리가 아주 낮다는 점이 너무 좋네요.,[재료] 사시미곤약분말 15그램| 물 1000cc| 보라색천연색소 1~2mg| 토마토 1개| 양상추 1컵| 삶은계란 1개 [양념] 초고추장(입맛에 맞게 조절) 2스푼,초급,2시간이내
23,693666,달걀볶음밥,40307,38,138,볶음,일상,달걀/유제품,밥/죽/떡,딱히 먹을거 없을땐 만들어 먹기 좋은 메뉴랍니당. 특히 자취생들에게 추천해드려용.,[재료] 달걀 1개| 양파 1/2개| 당근 1/8개| 대파 1/6뿌리| 밥 1공기 [양념] 식용유 2큰술| 참기름 0.3큰술| 소금 약간 | 후춧가루 약간| 통깨 약간,초급,15분이내
24,695395,두부강정,67299,73,538,튀김,일상,콩/견과류,밑반찬,고기요리 부럽지 않은 건강 두부요리~ 두부강정,[재료] 두부 200g| 땅콩 1줌| 녹말가루 적당량| 대파 or 쪽파 적당량 [양념] 고추장 2큰술| 케첩 1큰술| 물엿 2큰술| 흑설탕 0.3큰술| 물 7큰술| 다진 마늘 0.5큰술| 참기름 0.5큰술| 통깨 0.5큰술,중급,15분이내
25,695402,순두부찌개,284973,43,1183,끓이기,일상,콩/견과류,찌개,아주 최소의 재료와 양념만으로 간단하게 끓여낸 순두부찌개!,[재료] 순두부 1봉지| 진한 멸치다시마 육수 1/2컵| 달걀 1개| 대파나 쪽파 적당량 [양념] 새우젓 1큰술| 진간장 1큰술| 맛술 1큰술| 다진 마늘 0.5큰술| 고춧가루 0.5큰술| 참기름 0.5큰술,초급,30분이내
26,704277,호박볶음,5505,3,37,볶음,일상,채소류,밑반찬,단호박을 마파두부처럼 양념해서 밥반찬을 만들어 봤어요. 연두부로 만들어 먹는 마파두부를 호박이나 감자를 이용해서 만들어 먹어도 맛있는 밥반찬이 된답니다.,[재료] 단호박 중간것 1/2개| 베이컨 5장(또는 다진고기 150g)| 파 1대| 마늘 5쪽| 양파 큰거 1/2개| 홍고추 1개| 생강 조금| 식용유 5큰술| 물 1컵 [양념] 두반장 1큰술| 간장 1큰술 | 요리술 2큰술| 설탕 1큰술 | 참기름 1큰술 | 녹말가루 1큰술 | 후추 조금| 깨소금 조금| 소금 조금,초급,30분이내
27,708450,감자전,311851,45,682,부침,간식,채소류,밑반찬,겉은 바삭 속은 쫄깃한 감자전~,[재료] 감자(중) 5개(약 500g)| 대파나 쪽파 썰은 것 1줌| 식용유나 포도씨오일 넉넉히 [양념] 후춧가루 적당량| 소금 약간,초급,30분이내
28,712007,치킨데리야끼,8589,6,113,굽기,일상,닭고기,메인반찬,치킨 데리야끼 하나만으로도 맛있는 도시락 함께 만들어 보아용,[재료] 닭가슴살 2개| 양파 1/4개| 대파 1/2뿌리| 청량고추 2개 [양념] 소금| 후추 [조림간장 양념] 간장 5T| 설탕 2T| 미림 3T| 물 2T,초급,60분이내
29,712015,참치볼조림,5886,5,70,조림,도시락,가공식품류,밑반찬,그냥 먹어도 맛있지만 동글동글 볼로 만들어서 달콤매콤한 소스에 조린 맛난 도시락. 밥반찬으로 이것만 한것도 없지요. 함께 참치볼조림 도시락 만들어 보아요.,[재료] 참치통조림 1개(100g)| 양파 1/3개| 빨간피망 1/6개| 계란 1/3개| 밀가루 1T [조림소스] 다진양파 2T| 토마토케찹 1+1/2T| 고추장 1T| 설탕 1/2T| 물엿 1/2T| 간장 1/4T| 미림 1T| 물 4T,아무나,30분이내
30,712048,새우주먹밥,24004,24,512,삶기,도시락,해물류,밥/죽/떡,하얀쌀밥이랑 새우를 넣어서 동글동글 맛있는 새우주먹밥을 만들어 보아요.,[재료] 밥 1공기| 새우 8개| 오이 1개| 치자 단무지(물기가적은)| 명란젓(없어도 무방)| [새우 삶을 물]| 대파| 레몬즙 [양념] 참기름| [배합초]| 식초 2T| 설탕 1+1/2T| 소금 약간,초급,30분이내
31,712064,샌드위치,35811,12,282,기타,도시락,밀가루,빵,오리지널 클래식샌드위치,[재료] 식빵 3개| 베이컨 3줄| 잘 익은 토마토 1개| 양상추| 슬라이스체다치즈| 피클 [양념] 버터| 마요네즈| 머스터드,초급,30분이내
32,712864,해물볶음우동,43566,19,613,볶음,일상,해물류,면/만두,아삭한 숙주를 듬뿍넣은 탱글탱글 면발이 살아있는 해물볶음우동입니다~ ,[재료] 우동 사리면 1봉지| 오징어 1/2마리| 새우 살 1줌| 양파 1/3개 | 당근 1/6개| 피망 1/2개| 홍 피망 1/2개| 숙주 1줌 [양념] 다진 마늘 0.5스푼 | 청주 1스푼 | 굴 소스 1스푼 | 간장 2스푼 | 설탕 1스푼 | 참기름 0.5스푼 | 통깨 0.5스푼 | 후춧가루 약간,중급,30분이내
33,719519,김치감자샐러드,23755,10,106,삶기,다이어트,채소류,샐러드,감자와 마요네즈를 곁들여 샐러드를 만들어보았습니다. 김치와 야채를 아삭함과 감자와 마요네즈의 부드러움이 입안을 싸악 감싸는데 먹는 기쁨이 이런거구나 하고 느꼈답니다. 야채를 익히지 않아 아주 아삭아삭해요.,[재료] 신김치 100g| 감자 200g| 양파 1/4개| 당근 1/4개| 대파 조금 [소금물 재료] 물 3컵| 소금 1ts [마요네즈 소스] 마요네즈 2TS| 참기름 1+1/2TS| 통깨 1TS,아무나,15분이내
34,723670,감자주먹밥구이,13988,5,45,굽기,일상,채소류,밥/죽/떡,6.25 시절 어려웠던 때의 먹거리를 떠올리며 만들어 봤어요. 노릇하게 구워 만드는 감자주먹밥구이입니다~,[재료] 밥 1공기| 감자 1개| 김치 1줌 [양념] 설탕 1/2큰술| 들기름 1/2큰술| 참기름 1/2큰술| 밥이랑(밥에뿌려먹는가루) 1개| 기름 약간| 통깨 약간,초급,30분이내
35,725727,크림참치베이글샌드위치,5495,3,15,기타,간식,밀가루,빵,고소한 크림참치 베이글 샌드위치,[재료] 베이글 1개| 크림치즈 40g| 작은 참치캔 1/2개| 상추등야채| 피클,초급,30분이내
36,728746,아이스크림크레이프,2737,3,49,부침,간식,밀가루,빵,아이들 간식으로 딱인 유령 아이스크림 크레이프,[재료] 박력분 50g| 계란 1개| 설탕 1큰술| 녹인 버터 1큰술| 우유 100cc| 식용유 1큰술| 아이스크림 1통 [녹차반죽] 녹차 2작은술,초급,2시간이내
37,730297,해물김치리조또,7779,1,62,볶음,손님접대,해물류,밥/죽/떡,이탈리안과 동양의 만남! 해물김치리조또~,[재료] 해물모둠 1컵| 쌀 1컵| 양파 1/3개| 김치 1/3컵| 다진마늘 1/2큰술| 생크림 1/3컵| [조개육수]| 조개 1줌| 청양고추 2개| 물 적당량 [양념] 토마토페이스트 2큰술| 굴소스 1/2큰술| 오레가노 약간,초급,30분이내
38,731256,파프리카스파게티,8671,2,34,볶음,야식,밀가루,면/만두,스파게티에 아삭함을~파프리카 스파게티,[재료] 스파게티면 1인분| 토마토 2개| 노랑파프리카 1/3개| 초록파프리카 1/3개| 빨강파프리카 1/3개| 적양파 1/3개| 새송이버섯 1개| 바질 약간| 통마늘 2개 [양념] 무염버터 20g| 밀가루 2TS| 토마토 갈은것 2개| 케첩 50g| 소금 약간| 후추 약간,초급,30분이내
39,733845,바질페스토파스타,13825,4,94,볶음,일상,밀가루,면/만두,싱그러운 초록색이 꼭 여름과 잘 어울릴것만 같은 바질 페스토 크림 파스타. 만드는 방법도 간단하고 맛도 좋아서 가끔 만들어 먹는 메뉴예요. 면을 삶아서 바질 페스토에 슥슥 버무리기만 해도 좋구요. 저처럼 크림소스와 함께 버무리면 한층 더 맛이 풍부 하답니다.,[재료] 까놀리끼(or푸실리면) 100g| 양파 1/3개| 피망 1/3개| 파마산 치즈가루 약간 [크림소스] 바질 페스토 소스 2큰술| 생크림 100cc| 우유 100cc| 소금 약간,초급,30분이내
40,737452,치아바타샌드위치,4878,6,35,굽기,간식,밀가루,빵,민트의 청량감이 가득 민트 프라푸치노와 치아바타 샌드위치입니다.,[치아바타 샌드위치] 치아바타 1개| 토마토 1개| 양상추 3~4장| 치즈 2장| 스팸 작은것 1캔| 마요네즈 약간| 머스타드소스 약간| 피클 약간 [민트 프라푸치노] 에스프레소 2샷(60ml)| 우유 120ml| 얼음 2컵| 시럽 40ml| 휘핑크림 적당량| 민트티백 2개,초급,30분이내
41,737972,피넛버터바나나토스트,3535,2,24,굽기,간식,밀가루,빵,식빵과 피넛버터 바나나만 있으면 완성 할 수있는. 정말 간단하게 만들수 있는 간단 토스트에요. 배고프면서 귀찮을때 만들면 가장 좋을듯한~ 간단한 토스트를 커피와 함께 즐겨봐요.,[재료] 식빵 1장| 바나나 1개 [양념] 피넛버터 1Ts| 시나몬가루 약간,아무나,5분이내
42,741825,베이글샌드위치,6027,5,43,기타,도시락,밀가루,빵,식감좋은  내맘대로 베이글샌드위치,[재료] 베이글 1개| 양상추 약간| 치즈 1개| 양파 1/4개| 샌드위치용햄이나수제햄| 블랙올리브(통조림)| 피클| 크림치즈 | 파프리카| 토마토 [양념] 마요네즈 | 머스타드소스,초급,30분이내
43,742246,파스타샐러드,9092,3,191,삶기,다이어트,밀가루,샐러드,파스타 쿨 샐러드랍니다. 특히 소녀들에게는 최고의 파스타. 소녀들을 위한 파스타 쿨 샐러드 함께 만들어 보아요.,[재료] 파스타 100g(한줌하고 반정도)| 토마토 3개| 마른 홍고추 1개(또는 페퍼로치노)| 블랙올리브 5개| 파슬리가루 약간| 올리브유| 아몬드| 잣| 땅콩  [양념] 다진마늘| 설탕| 소금| 후추가루,초급,60분이내
44,745041,아포카토,4584,1,14,기타,간식,달걀/유제품,디저트,쌉싸름한 에스프레소 향이 진하고 바닐라 아이스크림을 넣어 달콤한 맛이 매력적인 아포카토예요. ,[재료] 바닐라 아이스크림 3스쿱| 에스프레소 2샷(60ml) [양념] 초콜렛시럽 약간| 견과류 약간,초급,15분이내
45,745982,검은콩국수,25202,18,155,끓이기,다이어트,콩/견과류,면/만두,대표적인 여름 메뉴인 콩국수. 단백질이 풍부한 콩은 우리몸의 면역력을 높여주고 생기를 더해주지요. 맛도 담백하고 영양까지 풍부해 더운여름 별미랍니다.,[재료] 서리태 1컵| 콩삶을물 4컵| 소면 90g| 땅콩 15알| 검정깨 1숟갈| 오이채 약간| 참외채 약간 [양념] 소금 약간,초급,2시간이상
46,748033,채소샌드위치,4421,1,10,굽기,간식,밀가루,빵,건강하게 맛있는 구운채소 샌드위치,[재료] 가지| 애호박| 단호박| 파프리카| 빵| 치즈 [양념] 발사믹드레싱,초급,30분이내
47,760950,감자볶음 파스타와 감자볶음 그라탕 ,4224,2,11,볶음,일상,쌀,퓨전,꼬들한 면과 고소한 감자  아삭한 야채를 볶아서 여름에 입맛없을때 누구라도 간단하게 해먹을수 있는 그런 파스타에요. 감자볶음에 피자치즈만 얹어 오븐에 구워줬어요. 그냥 감자볶음 치즈구이라고 할수도 있고  그라탕이라고 할수도 있답니다.,[재료] 양파 1/2개| 파프리카 1/4개| 햄 3조각| 감자 1개| 파스타면| 피자치즈 [양념] 소금| 후추,초급,15분이내
48,777327,달걀볶음밥,10147,9,60,볶음,일상,달걀/유제품,밥/죽/떡,늘 있는 달걀과 냉동실에 넣어 두었던 베이컨으로 만든 간단하면서도 폼 나는 볶음밥 이랍니다. 진짜로 대충 해서 주었음에도 아이들과 남편이 맛있게 먹어 주었던 것이라서요. 여러분들도 마침 재료들이 있다면  같이 만들어 보세요.,[재료] 밥 1+1/2공기| 달걀 2개| 베이컨 4줄| 실파나 쪽파 적당량 [양념] 참기름 2숟가락| 간장 2숟가락| 통깨 0.5숟가락,초급,15분이내
49,778392,연어초밥,9676,3,132,회,손님접대,해물류,밥/죽/떡,상큼한 소스를 곁들여 담백하게 들기는 연어초밥입니다. 간단하지만 근사해서 손님접대에 좋아요.,[재료] 연어 슬라이스 10개| 밥 1공기| 와사비 조금 [단촛물 양념] 식초 2큰술| 설탕 1큰술| 소금 1/2큰술 [소스] 플레인 요구르트 1통| 양파 1/2개| 설탕 1큰술| 다진 피클 1큰술| 다진 실파 1큰술,초급,30분이내
50,779350,해물된장리조또,3810,6,30,끓이기,일상,해물류,밥/죽/떡,리조또는 버터나 올리브유에 쌀을 볶아 뜨거운 육수를 넣어 만드는 이탈리아의 쌀요리라고 해요. 이탈리아의 쌀요리를 한국식재료를 넣어 담백하고 구수하게 만들어 보았답니다.,[재료] 쌀 80그램| 올리브유나 버터 1큰술| 불린 표고버섯 2송이| 모듬해물 240그램 [양념] 국선생 해물맛 260~300ml| 된장 1/2큰술| 후춧가루 약간| 화이트와인 1큰술| 소금 약간,초급,30분이내
51,782494,냉라면,15619,6,83,끓이기,일상,가공식품류,면/만두,시원 깔끔한 냉라면,[재료] 라면사리 1봉지| 노란파프리카 1/4개| 빨간파프리카 1/4개| 방울토마토 2개| 등심슬라이스햄 1봉 [양념] 국수장국 2소주잔| 물 10소주잔,초급,30분이내
52,786892,미트볼토마토스파게티,13105,5,61,볶음,일상,육류,면/만두,밥이나 스파게티와 잘어울리는 미트볼 소스입니다.,[미트볼 재료] 소고기 간것 150g| 돼지고기 100g| 빵가루 1/2컵| 계란 1개| 식용유 1T| 양파 작은거 1개| 식용유 1T [소스 재료] 브로콜리| 당근 작은거 1개 [미트볼 양념] 소금(or허브솔트) 1/2ts| 후추 적당량| 파슬리가루 1큰술 [스파게티 소스] 토마토 3개| 물1+1/2컵| 포도주 1/2컵| 토마토퓨레 3T| 우스터소스 1T| 치킨스톡 1개| 케찹 3T| 설탕 1ts| 후추| 허브솔트 조금,중급,60분이내
53,818895,알밥,6966,6,38,끓이기,영양식,해물류,밥/죽/떡,날치알이 입안에서 톡톡터지는 고소한 알밥입니다.,[재료] 밥 1+1/2공기| 다진 단무지 2큰술| 다진 파프리카 2큰술| 다진 김치 2큰술| 다진 당근 2큰술| 후리가케 1봉지| 날치알 2큰술| 버터 1/2큰술,초급,15분이내
54,829861,고구마샌드위치,13234,21,12,기타,간식,밀가루,빵,부드럽고 달콤한맛에 반한~ 고구마 샌드위치 ,[재료] 흑미쌀식빵 4장| 고구마 2개| 오이 1/2개| 양파 1/4개| 베이컨 40g [양념] 휘핑한생크림 2숟갈| 마요네즈 4숟갈| 허니 머스타드 기호에따라,초급,30분이내
55,835053,샌드위치,27114,9,96,기타,도시락,밀가루,빵, 때로는 산뜻하고 깔끔하게 기본 샌드위치~~ ,[재료] 식빵 2장| 슬라이스햄 4장| 슬라이스치즈 1장| 양상추 3잎| 치커리나 상추 적당량 [양념] 마요네즈 1큰술| 다진오이피클 1큰술| 머스터드 1큰술| 케첩 적당량,초급,30분이내
56,836904,까르보나라,10581,6,55,볶음,손님접대,밀가루,면/만두,고소함이 한가득 까르르르 까르보나라입니다.,[재료] 스파게티면 100g| 노른자 1개| 생표고버섯 2송이| 프랑크소세지 2개| 양파 1/3 개| 새송이버섯 1송이| 통마늘 2톨| 올리브유 1큰술 [양념] 생크림 1+1/2컵| 우유 1+1/2컵| 소금 1/2큰술| 백후추 약간| 파마산치즈 3큰술,아무나,15분이내
57,841018,토마토치즈토스트,3505,4,23,굽기,간식,밀가루,빵,바쁜아침  주말 브런치로 좋아~ 토마토 치즈 토스트,[재료] 완숙토마토 1개| 식빵 2개| 모짜렐라치즈 1컵 [양념] 케첩 1스푼| 파슬리가루 약간,아무나,30분이내
58,854186,냉스파게티,3733,7,27,볶음,일상,밀가루,면/만두,시원한 냉스파게티,[재료] 밀가루 400g| 세몰라 100g| 계란노른자 3~4개| 생모짜렐라치즈 180g| 토마토 300g| 마늘 2쪽| 바질 1줄기 [양념] 소금 약간| 후추 약간| 올리브유 적당량,초급,60분이내
59,855740,고구마샌드위치,53624,35,217,기타,간식,채소류,빵,속이 든든한 고구마샌드위치,[재료] 곡물식빵 4쪽| 고구마 삶은 것 1.5개| 토마토 1개| 오이 약간| 적채 약간,초급,30분이내
60,903603,미니돈까스꼬치,5366,7,29,굽기,간식,돼지고기,디저트,늘 먹는 돈까스도 요렇게 한번 만들어보세요~~~ 아이들이 넘 좋아한답니다,[재료] 흑돼지돈까스용등심 400g| 계란 2개| 튀김가루+빵가루 적당량| 소금 약간| 후춧가루 약간| 청주 1TS| 꼬치 4개 [양념] 머스타드소스| 케찹 적당량,초급,60분이내
61,905807,어묵두반장볶음,8880,8,52,볶음,일상,가공식품류,밑반찬,어묵이 냉장고에서 굴러다니길래 상하기 전에 채썰어서 두반장을 넣고 볶아보았어요.,[재료] 어묵 1장| 새송이 1개| 풋고추 2개| 맛살 1줄| 잔파 조금 [양념] 두반장 1스푼| 맛술 1스푼| 설탕 0.3스푼| 깨소금 0.5스푼| 후춧가루 약간| 다진 마늘 0.5스푼| 식용유 약간,아무나,10분이내
62,915682,고구마토스트,12738,17,66,부침,간식,과일류,빵,건강에 좋은 고구마  호도  바나나를 섭취할 수 있어서 일석이조인 것같아요.,[재료] 고구마 조금 큰 것 4개| 식빵 6조각| 바나나 3개| 호두 1줌| 우유 1/2컵 [양념] 마요네즈 2스푼| 설탕 1/2스푼| 계피가루 1스푼,아무나,30분이내
63,918146,달걀돈까스,7457,7,74,튀김,손님접대,달걀/유제품,메인반찬,요래 만들어서 아들뇨석들 간식 해결했더니.. 얼마나들 좋아하며 잘들 먹는지.. 든든한 영양간식~달걀돈까스 만들어볼게요~,[재료] 계란 5개| 돼지고기다짐육 200g| 밀가루| 빵가루| 식용유| 달걀 1개 [양념] 돈까스소스| 다진마늘 1/3숟갈| 설탕 1/4숟갈| 생강술 or맛술or청주 2/3숟갈| 녹말가루 2숟갈| 후춧가루| 생강가루| 소금,초급,30분이내
64,919943,구이밥,6551,6,70,볶음,일상,채소류,밥/죽/떡,찬밥으로 만든 고소한 감자철판구이밥입니다,[재료] 밥 1+1/2공기| 감자 1개| 당근 1/4개| 양파 1/4개| 색색의 피망 약간씩| 김치 1/4컵| 체다치즈 1장 [양념] 소금 약간| 후추 약간,초급,30분이내
65,929698,바나나주스,18316,7,76,기타,간식,과일류,차/음료/술,식이섬유가 풍부해 변비예방에 좋은 바나나 주스입니다.,[재료] 바나나 1개| 저지방 우유 1컵 [양념] 꿀 0.5스푼| 시나몬가루 약간,아무나,10분이내
66,932570,토마토에그스크램블,10539,7,69,볶음,일상,달걀/유제품,양식,고소한맛의 에그스크램블에다 신선한 익힌토마토를 넣어 몸에 건강한 영양요리예요. 아이들 간식으로도 좋고 아침식사대용이나 브런치로 좋아요.,[재료] 달걀 2개| 토마토 1개| 풋고추 1개| 흑미쌀 식빵 1쪽 [양념] 오늘아침 레뜨레 요구르트 3숟갈| 소금,초급,15분이내
