,rc_num,rc_name,rc_view,rc_rec,rc_scrap,rc_type,rc_sit,rc_sort,rc_nick,rc_info,rc_ing,rc_diff,rc_time,rc_src
1859,4089151,매운오징어볶음덮밥,38367.0,48.0,1571.0,볶음,일상,해물류,밥/죽/떡,오징어를 볶아서 반찬으로 드셔도 되고 밥에 올려 덮밥으로 드셔도 좋아요.,[재료] 오징어大 1마리| 양파 1/2개| 대파 2/3개| 양배추 109g| 청양고추 작은것 1개| 다진마늘 3톨| 참기름&통깨 약간 [양념] 태양초고춧가루 1스푼| 설탕 1스푼| 고추장 볼록하게 2큰술| 진간장 1스푼| 청주 1스푼| 청주(오징어데칠때사용) 1스푼| 진간장(마지막단계에사용) 1스푼,초급,30분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/08/a71e0a6f7f53a7f9b5a4140354afc144_m.jpg
1889,4219055,레몬케이크,29738.0,15.0,1222.0,굽기,간식,밀가루,빵,오늘 소개 드리는 레몬케이크는~ 윗면에 레몬슈거로 코팅을 시켰어요. 그냥 설탕 덩어리가 아니라~ 레몬즙과 슈거를 섞어서 만든 것이라서 거부감이 크지 않아요. 새콤달콤한 레몬 케이크 소개해드려요~,[재료] 버터 130g| 중력분 140g| 설탕 110g| 요리용입자소금 3꼬집| 달걀 2개 96g| 베이킹파우더 3g| 레몬 1개| 레몬껍질 4~5g| 레몬즙 밥수저 1스푼| 럼 밥수저 1작은스푼| 우유 60g [코팅할레몬슈거] 슈가파우더 50g| 레몬즙 밥수저 1.3스푼,초급,60분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/04/24/c6b7b4aaf10729abb6eb5b7414cd69701_m.jpg
1896,4258818,충무김밥,37865.0,25.0,1519.0,기타,일상,쌀,밥/죽/떡,신선한 오징어  비타민 C가 풍부한 가을무를 이용해 충무김밥을 만들어 보려고 합니다. 간편하게 먹을 수 있고 한 끼 식사로 든든한 충무김밥 소개합니다.,[재료] 오징어 1마리| 무 240g| 밥| 구운돌김| 대파 1/2뿌리| 소금 [양념] 고춧가루 2큰술| 매실액 3큰술| 멸치액젓 1큰술| 다진마늘 1큰술| 참기름 1큰술| 통깨 약간,초급,60분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/05/28/e31bb7c156fb0bcbeafe59c23fcf3ce01_m.jpg
1913,4291836,표고버섯밥전,26034.0,30.0,1542.0,부침,일상,버섯류,밥/죽/떡,적황미  녹흑미  찹쌀현미  멥쌀 등으로 지은 찬밥이 남아 있어서 영양이 풍부한 표고버섯과 달걀로 밥전을 만들어 보려고요. 한 끼 식사로 든든하고 영양이 풍부한 표고버섯 밥전 소개합니다.,[재료] 밥 1공기| 표고버섯 4개| 쪽파 2뿌리| 달걀 2개| 식용유 적당량 [양념] 맛술 1큰술| 통깨 1큰술| 소금 적당량,초급,30분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/05/26/4b9669515ebbe969ca91a204c809d8551_m.jpg
1920,4340628,양배추쫄면,87436.0,50.0,4595.0,비빔,일상,채소류,면/만두,초간단 약식 쫄면인 양배추쫄면 만들어 드셔보세요.,[재료] 쫄면 1인분| 양배추 채썬것 2줌 [양념] 고추장 5숟갈| 식초 2숟갈| 고추가루 2숟갈| 다진마늘 2숟갈| 올리고당 2숟갈| 설탕1+1/2숟갈| 참기름 1+1/2숟갈| 깨소금 1숟갈| 사이다 3숟갈| 다진파 1숟갈| 간장 2/3숟갈,초급,30분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/27/6413fe641435e748048347488d86b8c5_m.jpg
2013,4469016,치킨퀘사디아,94956.0,20.0,4002.0,굽기,초스피드,닭고기,빵,고소하고 담백한 치킨 퀘사디아입니다.,[재료] 또띠아 1장| 닭가슴살| 양송이버섯| 양파| 파프리카| 모짜렐라치즈 [고기밑간] 후추| 소금| 미림 [퀘사디아 소스] 토마토소스,초급,30분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/08/0e501f5729dac7e4f85cbccd67aeddf8_m.jpg
2047,4514401,짜조,46478.0,18.0,1924.0,튀김,손님접대,해물류,면/만두,베트남 전통만두인 짜조를 오징어다리를 이용해 만든 쫀득하고 바삭한 오징어짜조입니다.,[재료] 라이스페이퍼 8장| 오징어다리 1마리| 양송이버섯 1개| 새송이버섯 1개| 청경채 1줄기| 대파 10cm 1개| 당근 1/4개| 청양고추 1개| 달걀 1개| 전분가루 3TS [양념] 굴소스 1TS,중급,30분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/19/c3e243cebf56268f624b1abde31b5bb4_m.jpg
2092,4555995,김치콩나물해장국,130467.0,52.0,5593.0,끓이기,일상,채소류,국/탕,감기에 좋은 칼칼하고 시우너한 김치콩나물해장국입니다.,[재료] 콩나물 1줌| 신김치 1/3컵| 떡국떡 약간| 멸치육수 2+1/2컵| 대파 1/2개| 다진마늘 1큰술| 밥 1/2공기| 달걀 1개 [양념] 새우젓 1큰술,초급,30분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/19/7a4bba52fe1010116b783ce9a88438c9_m.jpg
2153,4653357,뚝배기불고기,170593.0,31.0,7149.0,끓이기,일상,육류,메인반찬,한국을 대표하는 세계적인 음식을 꼽을때 빠지지 않는것이 바로 불고기이죠... 오늘은 국물도 같이 준비할겸... 만들기도 아주 쉽고 맛있는 뚝배기불고기를 만들었어요.. 보글보글 끓여서 맛있게 드셔보세요~^^,[재료] 한우 불고깃감 100g| 불린당면 1줌| 느타리버섯 약간| 대파 약간| 멸치육수 1+1/2컵| 국간장 1/2숟갈 [불고기양념] 간장 2숟갈| 설탕 1/2숟갈| 다진마늘 1/2숟갈| 다진파 1/2숟갈| 생강술 1숟갈| 매실청 1숟갈| 참기름 1/2숟갈| 깨소금 1/3숟갈| 후추 약간,초급,60분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/16/e4a07cf75548b63b36c8f14b09e7da89_m.jpg
2198,4718862,두부마요네즈,93933.0,56.0,4383.0,기타,초스피드,콩/견과류,양념/소스/잼,고소하니 맛도 좋고요 ~ 아이들도 잘 먹을듯 하구요 ~  기름을 넣은 마요네즈와 두부를 넣은 마요네즈...둘다 만들어 드셔 보세요 ~,[재료] 두부 200 g| 두유 50 ml| 요리당 1큰술| 식초 2 작은술| 소금 조금| 통깨 조금,초급,30분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/17/267f11cfb83c47b07f274eb3e1b9c7fd_m.jpg
2250,4820035,바나나크럼머핀,10544.0,6.0,421.0,굽기,간식,곡류,빵,미국 사이트에 있는 바나나크림머핀을 레시피 그대로 만들었어요,[재료] 버터 75g| 계란 1개| 설탕 150g| 밀가루중력분 190g| 베이킹소다 5g| 베이킹파우더 5g| 소금 3g| 바나나 3개(260g) [크럼] 황설탕 75g| 밀가루중력분 15g| 시나몬파우더| 버터 15g,중급,15분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/08/cebac324e03deedcd1360bc3006cad7c_m.jpg
2295,4938495,초코컵케이크,61507.0,39.0,2433.0,굽기,간식,밀가루,빵,오늘은 NO오븐 컵케이크 만들기입니다. 간단한 컵케이크를 오븐없이도 전자레인지로 간단하게 만들수가 있어요~,[재료] 박력분 20g| 코코아가루 10g| 베이킹파우더 1/2작은술| 달걀 1개| 설탕 30g| 뜨거운물 1큰술| 커피가루 1작은술| 올리브오일 1큰술,초급,30분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/13/b545882a834b950fbf193f17be38486d_m.jpg
2320,5016314,쫄면,53932.0,17.0,2296.0,비빔,일상,가공식품류,면/만두,날씨가 더워요... 더운건 참을만 한데..왠지 후덥지근한 습기는 정말.....그래서 따뜻한건 먹기가 싫어서 쫄면 사다둔게 있어 집에 있는 야채와 함께 만들어보았네요... 새콤 매콤한 쫄면 간단하게 만들어볼께요.,[재료] 쫄면 1인분| 계란 1/2개| 양배추 조금| 오이 조금 [양념] 고추장 2TS| 간장 0.5TS| 매실 1TS| 요리당 0.3TS| 식초 1.5TS| 마늘 0.5TS| 통깨 조금,초급,30분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/08/5bd955fe5beccc24f7f9300291510327_m.jpg
2389,5206151,잡채덮밥,104248.0,49.0,4487.0,볶음,일상,쌀,밥/죽/떡,한끼식사로 너무 든든한 면요리 중 하나인 잡채덮밥을 만들어 먹었는데요. 이번에는 조금 맵게 해서 만들었더니 입 맛이 확~ 살더라구요.,[재료] 당면 2/3줌| 양파 1/4개| 오이 약간| 청양고추 1개| 느타리버섯 약간| 식용유| 참깨| 굴소스 1큰술 [잡채양념] 고춧가루 1작은술| 간장 1큰술| 설탕 1작은술| 참기름 2/3큰술| 다진파 2/3큰,초급,90분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/10/3f8c86e7676e0748a84cebf13e92e7b81_m.jpg
2554,5671220,돼지고기두부찌개,114985.0,36.0,4362.0,끓이기,일상,돼지고기,찌개,정말 후딱 끓이는 두부고기찌개입니다. 이 찌개는 밥 비벼먹는 것이 매력있는 음식입니다. 술안주로도 최고죠~ 어마어마하게 간단합니다.,[재료] 두부 1모| 간돼지고기 400g| 양파 1/2개| 청량고추 2개| 파 1/2개 [양념] 물 2컵| 고추장 2큰술| 고추가루 1+1/2큰술| 국간장 1/2큰술| 설탕 1/2큰술| 다진마늘 1큰술| 후추 적당량,아무나,30분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/04/10/91dac3442361f8af384dd2318e54a790_m.jpg
2599,5775868,버섯김치덮밥,33508.0,17.0,1814.0,볶음,일상,채소류,밥/죽/떡,조금 전에 점심메뉴로 만들어 먹은 버섯김치덮밥이랍니다. 새송이버섯을 잔뜩 사다둔 것이 있어서 양배추랑 버섯 넣어 김치덮밥 만들었는데 으흐흐 역시 김치는 달달 볶아 먹어야 맛나더라구요,[재료] 따끈한 밥 2/3공기| 묵은지 4장| 양배추 약간| 새송이버섯 1송이| 대파 약간| 식용유 1큰술 [양념] 물 2/3컵| 맛술 1큰술| 참기름 1큰술| 굴소스 1+1/2큰술| 올리고당 1큰술| 고추장 2/3큰술| 깨,초급,15분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/01/25b245b0fcc3aa3781578e37b6100b291_m.jpg
3190,6622184,날치알크래미전,4115.0,6.0,151.0,부침,일상,가공식품류,밑반찬,맛과 풍미가 비교적 좋은 크래미에 날치알을 넣어 재미있는 식감을 더해 간단한 반찬이지만 맛도 좋은 날치알크래미전을 만들어보겠습니다!,[재료] 크래미 200g| 달걀 1개| 날치알 10g| 올리브유 2t,아무나,30분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/05/26/231386344a9da7a697abcb9f97c096581_m.jpg
3286,6654995,베이컨스파게티,26884.0,54.0,1042.0,볶음,초스피드,밀가루,면/만두,마늘 듬뿍! 베이컨 향기가 솔솔 나는 베이컨 마늘 스파게티 만들어보세요~!,[재료] 스파게티면| 베이컨| 마늘| 양파 [양념] 소금| 파슬리가루| 파마산치즈가루| 올리브유,아무나,15분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/04/01/5c2765ac98388d59c25e481f3a5b24e81_m.jpg
3389,6685679,어묵덮밥,58327.0,133.0,3874.0,볶음,일상,가공식품류,밥/죽/떡,든든한 한그릇요리 쫄깃한 매콤 어묵덮밥~,[재료] 어묵 1장| 양파 1/2개| 계란 1개| 통깨 약간| 물 5스푼 [양념] 고추장1| 고추가루0.5| 간장1| 올리고당1| 참기름1| 맛술1| 다진마늘 0.5,아무나,30분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/04/16/de8df465f3001a3f7b27b9404bad529d1_m.jpg
3393,6685841,칠리항정살볶음,15431.0,4.0,965.0,볶음,일상,돼지고기,메인반찬,살짝느끼할수도 있는 항정살을 바싹하게 한번굽고 칠리소스 를 더해서 달콤상콤하고~! 청량고추의 매콤함까지~!!,[재료] 항정살 10덩어리| 밀가루 3스푼| 양파 1/2개| 청양고추 1~2개| 당근 조금| 다진마늘 1스푼| 표고버섯 1개 [양념] 스윗칠리소스 5스푼| 식초 1/2스푼| 요리당 1스푼| 간장 1스푼| 물 1스푼| 후추 탈탈,아무나,30분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/05/17/e94ac49f8ec3bef2b9a67496726220d41_m.JPG
3501,6707704,청경채맛살탕,11432.0,10.0,558.0,끓이기,일상,채소류,국/탕,걸쭉한 국물이 좋아 ! 초간단! 청경채맛살탕/스프 맛있게 끓이는법,[재료] 청경채 2포기| 게맛살 작은거 4개| 달걀흰자 1개| 전분(녹말가루)1T| 물 1T [양념] 소금 적당량| 후추 적당량| 굴소스 1t,아무나,30분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/04/16/0ad23a8aa52850c16ce0a914632033f21_m.jpg
3567,6727692,참치마요주먹밥,205905.0,214.0,8523.0,기타,도시락,가공식품류,밥/죽/떡,신랑 도시락~ 간단하지만 맛있는 참치마요주먹밥 만들기!,[재료] 햄| 당근| 양파| 애호박| 달걀2개| 참치 1캔 [양념] 마요네즈| 김가루,아무나,30분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/04/24/6cac4d1e21087f8753c979dbcbb8e4ec1_m.jpg
3590,6733300,참치알리올리오볶음밥,203698.0,64.0,14347.0,볶음,초스피드,가공식품류,밥/죽/떡,찬밥 처리에 최고! 마늘향이 은은한 고소한 참치 볶음밥이에요.,[재료] 밥 1공기| 마늘 5개| 참치 2스푼| 올리브유 약간| 달걀 1개 [양념] 소금 약간,초급,15분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/05/07/08e763f260da46e353e842819b350ded1_m.jpg
3630,6739157,차돌박이파스타,170052.0,75.0,13704.0,볶음,손님접대,가공식품류,면/만두,한끼 식사로도 맥주 안주로도 훌륭한 매운 차돌박이 파스타,[재료] 차돌박이 15장| 양파 1/2개| 청량고추 2개| 홍고추 1개| 통마늘 5톨 [양념] 간장 2숟갈| 굴소스 1숟갈| 맛술 1숟갈| 다진마늘 1숟갈| 후추 약간,초급,30분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/05/05/f898a7e9e03e179c2c6b7ad65fd946321_m.jpg
3633,6739754,들깨만두전골,22747.0,10.0,959.0,끓이기,일상,가공식품류,국/탕,보글보글 뚝배기에 끓여지는 뜨끈한 국물이 생각나는 날씨에 생각나는 들깨가룰 넣어 구수한 들깨 만두전골입니다.,[재료] 냉동만두 8개 300g| 팽이버섯 1/2봉지| 애느타리버섯 100g| 채썬 양파 1/4개| 다진마늘 1큰술| 다시마 끓인물 2+1/2컵| 국간장 1+1/2큰술| 들깨가루 2큰술| 곱게 어슷썬 대파 1/2대,초급,30분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/05/05/af63e0276e17fc3d3048dfe70af5aa3c1_m.jpg
3680,6748127,크림치즈호두빵,5248.0,8.0,193.0,굽기,일상,밀가루,빵,고소한 호두가 송송박힌 맛이 기가막히게 좋은 크림치즈호두빵입니다.,[빵 반죽] 강력분 300g| 드라이이스트 4g| 설탕 35g| 소금 5g| 버터 30g| 달걀 1개| 물 130g| 다진호두 80g [크림치즈 필링] 크림치즈 350g| 설탕 20g| 통호두 8개,중급,90분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/05/04/c415d32dfad8a0b934ba91dd9fc9b7d31_m.jpg
3699,6751996,허니버터또띠아칩,19050.0,32.0,917.0,굽기,술안주,밀가루,과자,집에서 만든 허니버터 토띠아칩. 허니버터과자 어렵게 구하지 마세요. 맥주 안주로도 좋아요.,[재료] 또띠아 2장| 아몬드 슬라이스 1줌| 파슬리가루 약간 [양념] 버터 1큰술| 꿀 2큰술,아무나,15분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/05/07/4d6f9f92801b9083ea5f454248f6d3501_m.jpg
3754,6762181,간장파스타,23887.0,56.0,1163.0,볶음,일상,밀가루,면/만두,자취생 간단요리. 남는 재료로 해먹는 간장파스타입니다.,[재료] 파스타면| 양파| 청양고추| 햄| 버섯| 올리브유 [소스] 간장| 다진마늘| 올리고당,초급,60분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/05/14/aa06bb6baf1d652d032f86f3400eb1471_m.jpg
3844,6778614,계란찜,211526.0,42.0,9653.0,찜,일상,달걀/유제품,밑반찬,손님 대접때 개인당 예쁜 커피컵에 만들어서 드렸더니 일식 계란찜같다고 꼭 푸딩같다고 좋아하시네요~ 만드는 방법 알려드릴게요~,[재료] 계란 1개| 물,아무나,10분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/05/18/11d72b0a0935a446596d281ad924606f1_m.jpg
3875,6786023,김치비빔국수,164292.0,536.0,6738.0,비빔,일상,밀가루,면/만두,소면도 쫄깃하니 잘익었고 새콤달콤한 양념장과 아삭한 오이와 김치가 너무나 찰떡궁합이였던 김치비빔국수! 맛있고 간단하게 만드는 법을 소개합니다~,[재료] 소면| 달걀| 오이| 김치 [양념] 고추장 1수저| 고춧가루 1/2수저| 간장 1수저| 올리고당 1수저| 매실액 1수저| 식초 1수저| 다진 마늘 1/3수저| 참기름 1/2수저,초급,30분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/05/22/d2b195160bdf1500e627cc1737b5c6701_m.jpg
3882,6787537,얼그레이쿠키,9950.0,22.0,444.0,굽기,간식,밀가루,과자,얼그레이 홍차잎이 향을 돋워주는 얼그레이쿠키입니다.,[재료] 밀가루 박력분 150g| 얼그레이 홍차잎 14g | 우유 10g| 버터 100g| 설탕 70g| 달걀 25g| 소금 약간,중급,60분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/05/22/5253bd2839b3e9ba1b447f9c7bb0642e1_m.jpg
